name,lat,lng,evalu,review_cnt
ハートンホテル東品川（品川シーサイド）,35.6103544,139.7503566,4.2,7215
スーパーホテル東京・芝　高濃度人工炭酸泉　開城の湯,35.650032,139.7512678,4.4,1104
ラビスタ東京ベイ（共立リゾート）,35.6466503,139.7840088,4.6,541
東京ベイ有明ワシントンホテル,35.6326198,139.7933536,4.2,8844
アパホテル〈品川 泉岳寺駅前〉,35.638116,139.73917,4.2,1885
静鉄ホテルプレジオ東京田町,35.6427583,139.7470938,4.7,102
グランドニッコー東京 台場,35.6251435,139.7715694,4.6,10915
名鉄イン浜松町,35.6579392,139.7555794,4.5,481
三井ガーデンホテル豊洲プレミア,35.65513,139.7946277,4.6,662
スーパーホテル東京・浜松町,35.6554502,139.7547582,4.5,68
品川プリンスホテル　イーストタワー,35.6276269,139.7370227,3.8,261
ザ・プリンス　さくらタワー東京、オートグラフ　コレクション,35.6309727,139.7354282,4.6,2237
グランドプリンスホテル新高輪,35.6300117,139.7334779,4.4,5163
相鉄グランドフレッサ 東京ベイ有明（旧ホテルサンルート有明）,35.6323868,139.7895918,4.2,9582
スーパーホテル品川・新馬場　高濃度炭酸泉　七福神の湯,35.6174442,139.744219,4.4,1132
スーパーホテル品川・青物横丁　高濃度炭酸泉　銀杏の湯,35.613039,139.7450018,4.4,2372
ホテルＪＡＬシティ東京 豊洲,35.6469113,139.7867672,4.4,817
東急ステイ高輪（泉岳寺駅前）,35.6384133,139.739104,4.6,323
品川プリンスホテル,35.6279119,139.7367526,4.0,13893
ザ ロイヤルパークホテル アイコニック 東京汐留,35.6642408,139.7605355,4.5,2497
ニューオータニイン東京,35.620879,139.7292135,4.2,6374
ヴィラフォンテーヌ グランド 東京有明｜住友不動産,35.6375284,139.7915048,4.3,919
グランドプリンスホテル高輪,35.6317936,139.7347926,4.3,1980
安心お宿　woman Tokyo 銀座汐留店,35.6617176,139.756745,4.4,655
ザ・プリンス パークタワー東京,35.655449,139.7470914,4.3,2627
京急ＥＸイン品川・新馬場駅北口,35.617893,139.7412744,4.2,3190
ダイワロイネットホテル新橋,35.6684793,139.7571404,4.4,386
品川プリンスホテル　Ｎタワー,35.6285324,139.7363281,4.4,581
変なホテル東京　浜松町,35.6573407,139.7564528,4.2,616
ヴィラフォンテーヌ グランド 東京田町｜住友不動産,35.64291435,139.7449042,4.7,1618
ホテルトラスティ東京ベイサイド,35.6284276,139.7872151,4.3,4298
ホテルリラサーレ東京,35.6535356,139.7547838,4.7,95
都シティ　東京高輪,35.6335492,139.7377664,4.4,479
ヒルトン東京お台場,35.6264108,139.7706744,4.3,899
第一ホテル東京,35.6686829,139.7572675,4.6,572
ホテル　グレイスリー田町,35.6436568,139.7509528,4.2,3257
ロワジールホテル品川シーサイド,35.6092469,139.7488374,4.2,435
京王プレッソイン浜松町,35.6592131,139.7528344,4.2,874
三交インＧｒａｎｄｅ東京浜松町,35.6542019,139.7546333,4.5,809
京急ＥＸイン浜松町・大門駅前,35.6574124,139.7541443,4.4,278
スーパーホテル新橋・烏森口,35.6625356,139.7561862,4.2,1419
ｉｎｕｍｏ　芝公園　ｂｙ　Ｖｉｌｌａ　Ｆｏｎｔａｉｎｅ,35.6587076,139.752272,4.4,30
東京豊洲 万葉倶楽部,35.6461872,139.7831588,4.3,122
ヴィラフォンテーヌ東京浜松町｜住友不動産,35.6520492,139.7549823,4.6,657
東京プリンスホテル,35.658962,139.7481391,4.2,44
相鉄フレッサイン東京田町,35.6427198,139.7478528,4.1,1137
ＦＩＲＳＴ　ＣＡＢＩＮ（ファーストキャビン）愛宕山,35.6642916,139.7520633,4.2,53
京急ＥＸホテル高輪（2026年2月リニューアルオープン）,35.6290459,139.7353698,4.3,1307
スマイルホテル品川泉岳寺駅前,35.640672,139.7413735,4.2,104
アパホテル〈新橋 御成門〉,35.6613948,139.755282,4.1,852
ローズステイ東京芝公園,35.6517175,139.7497798,4.1,832
東横ＩＮＮ品川港南口天王洲アイル,35.621858,139.7487458,4.1,3159
リッチモンドホテル東京芝,35.6568199,139.752268,4.2,2258
チェックイン新橋,35.6648291,139.7562635,4.1,1664
豪華カプセルホテル安心お宿　新橋駅前店,35.6650249,139.758073,3.9,1145
アパホテル〈三田駅前〉,35.6484342,139.7501349,4.0,1003
東急ステイ新橋,35.6635189,139.7570221,4.2,1083
ホテルマイステイズプレミア浜松町,35.659201,139.756371,3.9,10
アパホテル〈新橋 虎ノ門〉,35.666862,139.7532249,4.0,42
ベイサイドホテル　アジュール竹芝・浜松町,35.657111,139.7556247,4.0,94
ホテル新橋三番館,35.665992,139.7555499,4.1,521
レンブラントキャビン＆スパ新橋,35.6664936,139.7558742,4.0,138
東京グランドホテル,35.6528995,139.7511944,4.1,1471
虎ノ門ホリックホテル（2026年4月24日オープン）,35.6670515,139.7516772,4.2,5
ホテルグランマーチ東京芝浦,35.6449425,139.75217,4.4,109
ＢＡＹ　ＨＯＴＥＬ東京浜松町,35.6580878,139.7568248,4.2,7
ホテルタビノス浜松町,35.654661,139.7621332,3.9,479
新橋アーバンホテル,35.667287,139.7552382,4.1,124
相鉄フレッサイン　大門駅前（2022年1月26日新規オープン）,35.6555811,139.7537757,4.1,108
ファーイーストビレッジホテル東京有明,35.6403239,139.7917997,3.8,607
相鉄フレッサイン浜松町大門,35.6595979,139.7543821,3.9,901
CANDEO HOTELS（カンデオホテルズ）東京新橋,35.6658592,139.755218,4.0,306
ホテルリブマックス三田駅前,35.6484734,139.7503445,4.1,16
ANAホリデイ・イン東京ベイ by IHG,35.624343,139.7512527,4.0,5
ダブルツリーbyヒルトン東京有明,35.6344861,139.7923764,4.0,12
ヴィラフォンテーヌ　東京日比谷｜住友不動産,35.6661786,139.7534274,4.1,10
ダイワロイネットホテル東京大崎,35.6181067,139.7266833,4.1,2242
ホテルマイステイズ浜松町,35.6581876,139.7551683,4.0,7
三井ガーデンホテル汐留イタリア街,35.6602814,139.7569564,3.9,4414
相鉄フレッサイン新橋日比谷口,35.6682636,139.7576635,3.9,895
品川宿ゲストハウス＆ツアーズ,35.6217794,139.7403581,4.0,68
フレックステイイン品川,35.6221637,139.7402043,3.8,32
the b 新橋（ザビーしんばし）,35.6675813,139.7535791,3.9,155
ナインアワーズ浜松町,35.6574235,139.7555883,3.9,62
チサンホテル浜松町,35.649863,139.755531,3.6,1649
アネックスチェックイン新橋,35.6660589,139.7556267,3.8,312
ＴＨＥ　ＨＯＴＥＬ　ＳＨＩＮＢＡＳＨＩ （ザ　ホテル新橋）,35.664036,139.757308,3.7,199
品川東武ホテル,35.6292229,139.7330475,3.6,653
ホテルリブマックス豊洲駅前,35.6528898,139.796817,3.6,218
くれたけインプレミアム浜松町,35.650879,139.7553047,3.5,18
Ｈｏｔｅｌ　ｏｗｌ　Ｔｏｋｙｏ　Ｓｈｉｎｂａｓｈｉ,35.665304,139.755994,3.5,351
